time, Quad.GPS.X
0.105000,0.929731
0.205000,-0.850922
0.305000,-0.294897
0.404998,0.645187
0.504997,-0.905480
0.604996,-0.284941
0.704994,0.275033
0.804993,0.895190
0.904992,-0.066586
1.004991,-0.078246
1.104996,0.694033
1.205000,-0.048273
1.305005,0.607295
1.405010,-0.699782
1.505014,0.150925
1.605019,0.017883
1.705024,0.292641
